"id","created_at","updated_at","deleted_at","student_id","subject_class_id","is_active","first_ca","second_ca","first_exam","total_first","grade_first","remark_first","s_first_ca","s_second_ca","second_exam","total_second","grade_second","remark_second"
1647,"2020-11-29 21:38:45.834722+01","2020-12-17 11:36:58.939545+01",,144,45,TRUE,,,,,,,12,7,48,67,"B","VERY GOOD"
1648,"2020-11-29 21:38:45.836181+01","2020-12-17 11:36:58.941882+01",,144,93,TRUE,,,,,,,15,19,56,90,"A","EXCELLENT"
3169,"2020-12-09 07:57:15.545202+01","2020-12-17 12:03:28.491332+01",,9,85,TRUE,0,0,0,0,"","",20,12,40,72,"A","EXCELLENT"
3140,"2020-12-09 07:39:31.376119+01","2020-12-17 12:05:01.190794+01",,32,69,TRUE,0,0,0,0,"","",18,11,53,82,"A","EXCELLENT"
3161,"2020-12-09 07:51:45.80438+01","2020-12-18 11:11:59.271453+01",,6,91,TRUE,0,0,0,0,"","",15,13,40,68,"B","VERY GOOD"
3159,"2020-12-09 07:51:45.799746+01","2020-12-18 11:11:59.273372+01",,6,82,TRUE,0,0,0,0,"","",16,10,40,66,"B","VERY GOOD"
1657,"2020-11-29 21:38:45.853657+01","2020-12-18 11:12:26.507388+01",,11,25,TRUE,,,,,,,15,17,41,73,"A","EXCELLENT"
1646,"2020-11-29 21:38:45.833245+01","2020-12-17 11:36:58.944796+01",,144,39,TRUE,,,,,,,15,10,37,62,"B","VERY GOOD"
3167,"2020-12-09 07:55:14.549953+01","2020-12-17 11:37:16.213527+01",,5,91,TRUE,0,0,0,0,"","",15,14,55,84,"A","EXCELLENT"
1659,"2020-11-29 21:38:45.856733+01","2020-12-18 11:12:26.509492+01",,11,97,TRUE,,,,,,,15,12,58,85,"A","EXCELLENT"
1661,"2020-11-29 21:38:45.859665+01","2020-12-18 11:12:26.511526+01",,11,61,TRUE,,,,,,,5,11,38,54,"C","GOOD"
1660,"2020-11-29 21:38:45.858161+01","2020-12-18 11:12:26.513516+01",,11,88,TRUE,,,,,,,15,20,57,92,"A","EXCELLENT"
1658,"2020-11-29 21:38:45.855213+01","2020-12-18 11:12:26.515642+01",,11,19,TRUE,,,,,,,8,15,34,57,"C","GOOD"
3165,"2020-12-09 07:55:14.544761+01","2020-12-17 11:37:16.215483+01",,5,82,TRUE,0,0,0,0,"","",20,10,40,70,"A","EXCELLENT"
3221,"2020-12-09 08:00:01.466222+01","2020-12-18 11:12:26.517539+01",,11,91,TRUE,0,0,0,0,"","",15,15,55,85,"A","EXCELLENT"
3219,"2020-12-09 08:00:01.459966+01","2020-12-18 11:12:26.519917+01",,11,82,TRUE,0,0,0,0,"","",20,10,44,74,"A","EXCELLENT"
3163,"2020-12-09 07:54:05.986817+01","2020-12-17 11:38:59.386038+01",,12,79,TRUE,0,0,0,0,"","",10,2,21,33,"F","POOR"
3150,"2020-12-09 07:45:04.959902+01","2020-12-17 11:40:04.849983+01",,2,67,TRUE,0,0,0,0,"","",9,15,23,47,"D","PASS"
3141,"2020-12-09 07:41:06.0051+01","2020-12-17 11:40:40.377796+01",,115,67,TRUE,0,0,0,0,"","",15,15,8,38,"F","POOR"
3156,"2020-12-09 07:49:17.849058+01","2020-12-17 11:41:33.092481+01",,127,91,TRUE,0,0,0,0,"","",15,14,44,73,"A","EXCELLENT"
3154,"2020-12-09 07:49:17.844701+01","2020-12-17 11:41:33.094822+01",,127,82,TRUE,0,0,0,0,"","",18,10,33,61,"B","VERY GOOD"
3144,"2020-12-09 07:42:33.446245+01","2020-12-17 11:41:43.293331+01",,92,89,TRUE,0,0,0,0,"","",15,5,39,59,"C","GOOD"
3146,"2020-12-09 07:42:33.449707+01","2020-12-17 11:41:43.296095+01",,92,68,TRUE,0,0,0,0,"","",11,9,48,68,"B","VERY GOOD"
3148,"2020-12-09 07:42:33.455151+01","2020-12-17 11:41:43.298315+01",,92,65,TRUE,0,0,0,0,"","",8,12,29,49,"D","PASS"
1788,"2020-11-29 21:38:46.049644+01","2020-12-17 11:43:13.166854+01",,133,43,TRUE,,,,,,,15,18,24,57,"C","GOOD"
1803,"2020-11-29 21:38:46.072555+01","2020-12-17 11:43:28.90588+01",,139,18,TRUE,,,,,,,14,19,16,49,"D","PASS"
3300,"2020-12-09 08:39:08.589422+01","2020-12-17 11:44:24.488708+01",,91,68,TRUE,0,0,0,0,"","",16,13,35,64,"B","VERY GOOD"
1882,"2020-11-29 21:38:46.197024+01","2020-12-17 11:45:16.84679+01",,136,37,TRUE,,,,,,,15,5,35,55,"C","GOOD"
3192,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.596559+01",,179,14,TRUE,,,,,,,14,20,50,84,"A","EXCELLENT"
3218,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.601126+01",,181,104,TRUE,,,,,,,5,6,26,37,"F","POOR"
3182,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.874057+01",,178,104,TRUE,,,,,,,11,6,52,69,"B","VERY GOOD"
3327,"2020-12-09 08:43:21.49139+01","2020-12-17 11:56:29.482268+01",,84,68,TRUE,0,0,0,0,"","",11,6,22,39,"F","POOR"
1952,"2020-11-29 21:38:46.31949+01","2020-12-17 11:46:47.587509+01",,54,40,TRUE,,,,,,,13,10,30,53,"C","GOOD"
3194,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.598751+01",,179,104,TRUE,,,,,,,15,8,51,74,"A","EXCELLENT"
3177,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.875908+01",,178,38,TRUE,,,,,,,15,15,28,58,"C","GOOD"
3184,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.600886+01",,179,41,TRUE,,,,,,,13,15,45,73,"A","EXCELLENT"
3210,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.60338+01",,181,26,TRUE,,,,,,,4,6,12,22,"F","WEAK"
3213,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.605433+01",,181,38,TRUE,,,,,,,15,13,17,45,"D","PASS"
3199,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:27.954588+01",,180,44,TRUE,,,,,,,13,5,22,40,"E","PASS"
3370,"2020-12-09 08:48:37.480586+01","2020-12-17 12:14:15.238815+01",,118,77,TRUE,0,0,0,0,"","",4,1,28,33,"F","POOR"
3180,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.877805+01",,178,14,TRUE,,,,,,,6,14,40,60,"B","VERY GOOD"
3198,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:27.956463+01",,180,26,TRUE,,,,,,,10,11,28,49,"D","PASS"
3209,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.607544+01",,181,32,TRUE,,,,,,,9,2,11,22,"F","WEAK"
3186,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.602805+01",,179,26,TRUE,,,,,,,18,13,52,83,"A","EXCELLENT"
3178,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.879713+01",,178,92,TRUE,,,,,,,15,10,42,67,"B","VERY GOOD"
3216,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.609724+01",,181,14,TRUE,,,,,,,,,7,7,"F","WEAK"
1673,"2020-11-29 21:38:45.878582+01","2020-12-17 11:38:59.389969+01",,12,97,TRUE,,,,,,,15,10,26,51,"C","GOOD"
3202,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:27.958365+01",,180,92,TRUE,,,,,,,15,10,41,66,"B","VERY GOOD"
1677,"2020-11-29 21:38:45.883482+01","2020-12-17 11:38:59.391874+01",,12,64,TRUE,,,,,,,5,7,16,28,"F","WEAK"
3207,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.611845+01",,181,20,TRUE,,,,,,,7,5,10,22,"F","WEAK"
3205,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:27.960367+01",,180,29,TRUE,,,,,,,,5,20,25,"F","WEAK"
2590,"2020-11-29 21:38:47.38053+01","2020-12-17 12:05:42.696607+01",,110,96,TRUE,,,,,,,15,9,30,54,"C","GOOD"
3190,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.604657+01",,179,92,TRUE,,,,,,,15,16,48,79,"A","EXCELLENT"
3514,"2020-12-12 12:34:23.38198+01","2020-12-17 11:58:30.869802+01",,185,83,TRUE,0,0,0,0,"","",20,10,50,80,"A","EXCELLENT"
3214,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.613761+01",,181,92,TRUE,,,,,,,15,2,37,54,"C","GOOD"
3187,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.606436+01",,179,44,TRUE,,,,,,,11,13,44,68,"B","VERY GOOD"
3183,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.608715+01",,179,20,TRUE,,,,,,,12,15,23,50,"C","GOOD"
3208,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.615699+01",,181,41,TRUE,,,,,,,8,9,22,39,"F","POOR"
1674,"2020-11-29 21:38:45.879739+01","2020-12-17 11:38:59.393682+01",,12,88,TRUE,,,,,,,10,13,10,33,"F","POOR"
3189,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.610981+01",,179,38,TRUE,,,,,,,15,11,35,61,"B","VERY GOOD"
3195,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:27.96226+01",,180,20,TRUE,,,,,,,16,10,12,38,"F","POOR"
3203,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:27.964051+01",,180,35,TRUE,,,,,,,14,10,13,37,"F","POOR"
3206,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:27.966143+01",,180,104,TRUE,,,,,,,4,8,36,48,"D","PASS"
3200,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:27.967978+01",,180,56,TRUE,,,,,,,4,6,20,30,"F","POOR"
3173,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.881579+01",,178,32,TRUE,,,,,,,14,5,32,51,"C","GOOD"
3215,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.617777+01",,181,35,TRUE,,,,,,,10,2,15,27,"F","WEAK"
3175,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.883752+01",,178,44,TRUE,,,,,,,11,6,47,64,"B","VERY GOOD"
3174,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.885867+01",,178,26,TRUE,,,,,,,9,8,40,57,"C","GOOD"
3171,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.887771+01",,178,20,TRUE,,,,,,,15,10,40,65,"B","VERY GOOD"
3176,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.88978+01",,178,56,TRUE,,,,,,,5,20,28,53,"C","GOOD"
3179,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.891661+01",,178,35,TRUE,,,,,,,15,10,39,64,"B","VERY GOOD"
3211,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.598136+01",,181,44,TRUE,,,,,,,5,2,11,18,"F","WEAK"
3172,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:25.871892+01",,178,41,TRUE,,,,,,,9,15,26,50,"C","GOOD"
3188,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.612956+01",,179,56,TRUE,,,,,,,13,9,35,57,"C","GOOD"
1971,"2020-11-29 21:38:46.35339+01","2020-12-17 11:47:05.0251+01",,131,42,TRUE,,,,,,,14,18,51,83,"A","EXCELLENT"
3212,"2020-12-09 07:59:46.110194+01","2020-12-17 12:02:38.619603+01",,181,56,TRUE,,,,,,,5,4,15,24,"F","WEAK"
1672,"2020-11-29 21:38:45.877337+01","2020-12-17 11:38:59.395446+01",,12,19,TRUE,,,,,,,1,15,11,27,"F","WEAK"
2555,"2020-11-29 21:38:47.321533+01","2020-12-17 12:04:44.452365+01",,28,96,TRUE,,,,,,,15,10,33,58,"C","GOOD"
1686,"2020-11-29 21:38:45.89775+01","2020-12-17 11:40:26.368822+01",,138,95,TRUE,,,,,,,,,,,"F","WEAK"
1675,"2020-11-29 21:38:45.881061+01","2020-12-17 11:38:59.387846+01",,12,61,TRUE,,,,,,,11,4,32,47,"D","PASS"
3191,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.615248+01",,179,35,TRUE,,,,,,,14,9,38,61,"B","VERY GOOD"
2877,"2020-11-29 21:38:47.867584+01","2020-12-17 12:12:42.139595+01",,162,56,TRUE,,,,,,,11,4,23,38,"F","POOR"
3453,"2020-12-09 12:21:07.301363+01","2020-12-17 12:13:58.164883+01",,119,106,TRUE,0,0,0,0,"","",12,11,36,59,"C","GOOD"
3193,"2020-12-09 07:59:46.110194+01","2020-12-17 11:57:40.591272+01",,179,29,TRUE,,,,,,,8,9,45,62,"B","VERY GOOD"
3537,"2020-12-13 15:07:21.937774+01","2020-12-17 11:58:05.7365+01",,182,93,TRUE,,,,,,,15,14,49,78,"A","EXCELLENT"
1663,"2020-11-29 21:38:45.862653+01","2020-12-18 11:12:26.522015+01",,11,64,TRUE,,,,,,,14,12,35,61,"B","VERY GOOD"
1694,"2020-11-29 21:38:45.909334+01","2020-12-17 11:40:40.381699+01",,115,97,TRUE,,,,,,,15,10,13,38,"F","POOR"
1960,"2020-11-29 21:38:46.333991+01","2020-12-21 13:31:16.366387+01",,55,22,TRUE,,,,,,,11,15,34,60,"B","VERY GOOD"
2002,"2020-11-29 21:38:46.407071+01","2020-12-17 11:48:56.862006+01",,132,39,TRUE,,,,,,,10,10,33,53,"C","GOOD"
1908,"2020-11-29 21:38:46.242104+01","2020-12-17 11:45:46.073835+01",,143,94,TRUE,,,,,,,15,9,17,41,"E","PASS"
